date_of_data,facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,last_visit_date,inspection_visits,complaint_visits,other_visits,total_visits,all_visit_dates,inspection_visit_dates,inspect_type_a,inspect_type_b,other_visit_dates,other_type_a,other_type_b,geocoded_address,google_proper_address,latitude,longitude,location_type,partial_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197401427,DEL REY CHRISTIAN CHILDREN'S CENTER,DEL REY HILL EVANGELICAL FREE CHURCH,CLARA MORALES,(310) 823-0844,8505 SARAN DRIVE,PLAYA DEL REY,CA,90293,Los Angeles,30,56,Licensed,8/21/95,,10/23/14,4,0,1,5,"10/23/2014, 09/12/2013, 09/12/2013, 06/19/2012, 12/07/2011","10/23/2014, 09/12/2013, 06/19/2012, 12/07/2011",0,1,9/12/13,0,0,"8505 SARAN DRIVE, PLAYA DEL REY, CA 90293","8505 Saran Drive, Playa del Rey, CA 90293, USA",33.9608634,-118.432815,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,INFANT CENTER,197401428,DEL REY CHRISTIAN CHILDREN'S CENTER,DEL REY HILLS EVANGELICAL FREE CHURCH,CLARA MORALES,(310) 823-0844,8505 SARAN DRIVE,PLAYA DEL REY,CA,90293,Los Angeles,30,7,Licensed,8/21/95,,10/23/14,4,0,0,4,"10/23/2014, 09/12/2013, 06/19/2012, 12/07/2011","10/23/2014, 09/12/2013, 06/19/2012, 12/07/2011",0,0,,0,0,"8505 SARAN DRIVE, PLAYA DEL REY, CA 90293","8505 Saran Drive, Playa del Rey, CA 90293, USA",33.9608634,-118.432815,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,INFANT CENTER,198007140,"CHILDREN'S COLLECTIVE, INC. INFANT TODDLER, THE","CHILDREN'S COLLECTIVE, INC",JEANETTE BANUELOS,(323) 789-1873,932 W. 85TH,LOS ANGELES,CA,90044,Los Angeles,30,19,Licensed,1/28/02,,10/29/14,2,3,10,15,"10/29/2014, 06/04/2014, 01/17/2014, 08/02/2013, 04/24/2013, 04/24/2013, 03/08/2013, 01/29/2013, 11/09/2012, 08/28/2012, 05/16/2012, 04/20/2012, 08/23/2011, 07/15/2011, 06/10/2011","01/17/2014, 05/16/2012",0,0,"10/29/2014, 06/04/2014, 08/02/2013, 04/24/2013, 04/24/2013, 11/09/2012, 08/28/2012, 04/20/2012, 08/23/2011, 06/10/2011",2,0,"932 W. 85TH, LOS ANGELES, CA 90044","932 West 85th Street, Los Angeles, CA 90044, USA",33.9609747,-118.2904705,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,198007141,"CHILDREN'S COLLECTIVE, INC. STATE PRESCHOOL, THE","CHILDREN'S COLLECTIVE, INC",JEANETTE BANUELOS,(323) 789-1873,932 W 85TH ST,LOS ANGELES,CA,90044,Los Angeles,30,24,Licensed,1/28/02,,6/10/11,3,0,15,18,"12/19/2014, 10/29/2014, 06/04/2014, 02/07/2014, 01/17/2014, 08/23/2013, 08/02/2013, 04/24/2013, 12/06/2012, 11/29/2012, 11/09/2012, 08/28/2012, 04/20/2012, 03/23/2012, 06/10/2011, 04/19/2011, 09/22/2010, 06/17/2010","01/17/2014, 11/29/2012, 06/17/2010",1,1,"12/19/2014, 10/29/2014, 06/04/2014, 02/07/2014, 08/23/2013, 08/02/2013, 04/24/2013, 12/06/2012, 11/09/2012, 08/28/2012, 04/20/2012, 03/23/2012, 06/10/2011, 04/19/2011, 09/22/2010",2,0,"932 W 85TH ST, LOS ANGELES, CA 90044","932 West 85th Street, Los Angeles, CA 90044, USA",33.9609747,-118.2904705,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,198007141,"CHILDREN'S COLLECTIVE, INC. STATE PRESCHOOL, THE","CHILDREN'S COLLECTIVE, INC",JEANETTE BANUELOS,(323) 789-1873,932 W 85TH ST,LOS ANGELES,CA,90044,Los Angeles,30,24,Licensed,1/28/02,,12/19/14,3,0,15,18,"12/19/2014, 10/29/2014, 06/04/2014, 02/07/2014, 01/17/2014, 08/23/2013, 08/02/2013, 04/24/2013, 12/06/2012, 11/29/2012, 11/09/2012, 08/28/2012, 04/20/2012, 03/23/2012, 06/10/2011, 04/19/2011, 09/22/2010, 06/17/2010","01/17/2014, 11/29/2012, 06/17/2010",1,1,"12/19/2014, 10/29/2014, 06/04/2014, 02/07/2014, 08/23/2013, 08/02/2013, 04/24/2013, 12/06/2012, 11/09/2012, 08/28/2012, 04/20/2012, 03/23/2012, 06/10/2011, 04/19/2011, 09/22/2010",2,0,"932 W 85TH ST, LOS ANGELES, CA 90044","932 West 85th Street, Los Angeles, CA 90044, USA",33.9609747,-118.2904705,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,SCHOOL AGE DAY CARE CENTER,198013139,MULBERRY TREE PRESCHOOL,MIACHELLE ANDRADE AND RUBY HINES,MIACHELLE ANDRADE,(562) 696-5114,13841 E. CHRISTINE DRIVE,WHITTIER,CA,90605,Los Angeles,33,12,Licensed,4/23/07,,3/21/13,2,1,3,6,"03/21/2013, 03/15/2013, 03/06/2013, 07/16/2010, 05/27/2010, 05/17/2010","03/06/2013, 05/17/2010",0,2,"03/21/2013, 03/15/2013, 07/16/2010",0,0,"13841 E. CHRISTINE DRIVE, WHITTIER, CA 90605","13841 Christine Drive, Whittier, CA 90605, USA",33.9609982,-118.0259108,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,198000568,MULBERRY TREE PRESCHOOL,"ANDRADE, MIACHELLE/HINES, RUBY & MICHAEL","ANDRADE, M./HINES, R & M.",(562) 696-5114,13841 E. CHRISTINE DR.,WHITTIER,CA,90605,Los Angeles,33,26,Licensed,10/21/94,,11/18/14,1,4,5,10,"10/09/2014, 09/16/2014, 03/21/2013, 03/15/2013, 03/06/2013, 03/06/2013, 07/16/2010, 05/27/2010, 05/27/2010, 05/27/2010",3/6/13,0,4,"10/09/2014, 03/21/2013, 03/15/2013, 03/06/2013, 05/27/2010",0,3,"13841 E. CHRISTINE DR., WHITTIER, CA 90605","13841 Christine Drive, Whittier, CA 90605, USA",33.9609982,-118.0259108,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,INFANT CENTER,197419119,INGLEWOOD AVE. PRESCHOOL ACADEMY INF.,"TAJAUTA ENTERPRISES, INC.","APPLEWHITE, KAMIKO L.",(310) 674-5011,215 S. INGLEWOOD AVENUE,INGLEWOOD,CA,90301,Los Angeles,30,17,Licensed,12/23/13,,12/20/13,0,0,1,1,12/20/13,,0,0,12/20/13,0,0,"215 S. INGLEWOOD AVENUE, INGLEWOOD, CA 90301","215 South Inglewood Avenue, Inglewood, CA 90301, USA",33.96105,-118.362113,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197419120,INGLEWOOD AVE. PRESCHOOL ACADEMY P.S.,"TAJAUTA ENTERPRISES, INC.","APPLEWHITE, KAMIKO L.",(310) 614-5011,215 S. INGLEWOOD AVENUE,INGLEWOOD,CA,90301,Los Angeles,30,35,Licensed,12/23/13,,12/20/13,0,0,1,1,12/20/13,,0,0,12/20/13,0,0,"215 S. INGLEWOOD AVENUE, INGLEWOOD, CA 90301","215 South Inglewood Avenue, Inglewood, CA 90301, USA",33.96105,-118.362113,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,INFANT CENTER,198006257,HEAVENLY VISION STEP II,"HEAVENLY VISION EDUCATIONAL CENTER, INC.","SCRANTON, SANDRA",(323) 778-8823,226 W. 85TH STREET,LOS ANGELES,CA,90003,Los Angeles,33,12,Licensed,12/4/00,,5/14/14,2,0,1,3,"05/14/2014, 12/16/2013, 06/24/2013","05/14/2014, 06/24/2013",0,0,12/16/13,0,0,"226 W. 85TH STREET, LOS ANGELES, CA 90003","226 West 85th Street, Los Angeles, CA 90003, USA",33.9613159,-118.27706,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197417068,CANTERBURY LEARNING ACADEMY,"LEWIS-GOMEZ, BETTY","LEWIS-GOMEZ, BETTY",(323) 537-3929,204 SOUTH LA BREA AVENUE,INGLEWOOD,CA,90301,Los Angeles,30,25,Licensed,7/24/10,,8/12/14,1,1,5,7,"08/12/2014, 07/30/2014, 07/30/2014, 04/02/2014, 04/15/2010, 04/08/2010, 03/23/2010",4/2/14,0,3,"08/12/2014, 07/30/2014, 04/15/2010, 04/08/2010, 03/23/2010",0,1,"204 SOUTH LA BREA AVENUE, INGLEWOOD, CA 90301","204 South La Brea Avenue, Inglewood, CA 90301, USA",33.961459,-118.352917,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197419226,INGLEWOOD USD-INGLEWOOD CAREER TECH ED.,INGLEWOOD U.S.D.,"TATE, DEBRA",(310) 330-5243,106 E. MANCHESTER AVENUE,INGLEWOOD,CA,90301,Los Angeles,30,24,Licensed,9/15/14,,1/15/14,0,0,1,1,1/15/14,,0,0,1/15/14,0,0,"106 E. MANCHESTER AVENUE, INGLEWOOD, CA 90301","106 East Manchester Boulevard, Inglewood, CA 90301, USA",33.961477,-118.354327,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,INFANT CENTER,198004015,HEAVENLY VISION EDUCATIONAL INFANT CENTER,HEAVENLY VISION EDUCATIONAL CENTER,CHARLOTTE WILLIAMS,(323) 751-8426,221 WEST 85TH ST.,LOS ANGELES,CA,90003,Los Angeles,33,12,Licensed,8/12/98,,2/4/11,1,0,0,1,2/4/11,2/4/11,0,1,,0,0,"221 WEST 85TH ST., LOS ANGELES, CA 90003","221 West 85th Street, Los Angeles, CA 90003, USA",33.961757,-118.276872,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191501828,EAST WHITTIER UNITED PRESBYTERIAN CHURCH,EAST WHITTIER UNITED PRESBYTERIAN CHURCH,SHEILA FEWELL,(562) 693-5112,14061 E SECOND ST,WHITTIER,CA,90605,Los Angeles,33,75,Licensed,8/17/94,,11/6/14,2,0,2,4,"11/06/2014, 08/23/2012, 06/21/2012, 10/13/2011","11/06/2014, 08/23/2012",0,0,"06/21/2012, 10/13/2011",0,0,"14061 E SECOND ST, WHITTIER, CA 90605","14061 2nd Street, Whittier, CA 90605, USA",33.962086,-118.02206,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,SCHOOL AGE DAY CARE CENTER,191594160,EAST WHITTIER UNITED PRESBYTERIAN DAY CARE,EAST WHITTIER UNITED PRESBYTERIAN CHURCH,SHEILA FEWELL,(562) 693-5112,14061 E. SECOND STREET,WHITTIER,CA,90605,Los Angeles,33,49,Licensed,3/10/89,,11/6/14,2,0,1,3,"11/06/2014, 06/21/2012, 10/13/2011","11/06/2014, 10/13/2011",0,0,6/21/12,0,0,"14061 E. SECOND STREET, WHITTIER, CA 90605","14061 2nd Street, Whittier, CA 90605, USA",33.962086,-118.02206,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197411900,KENTWOOD ELEMENTARY SCHOOL STATE PRESCHOOL,LAUSD/EARLY CHILDHOOD EDUCATION,JEAN PENNICOOK,(310) 670-8977,"8401 EMERSON AVENUE, ROOM 15",LOS ANGELES,CA,90045,Los Angeles,30,24,Licensed,9/10/04,,3/20/14,2,0,2,4,"03/20/2014, 02/27/2014, 12/06/2013, 02/18/2010","12/06/2013, 02/18/2010",0,2,"03/20/2014, 02/27/2014",0,0,"8401 EMERSON AVENUE, ROOM 15, LOS ANGELES, CA 90045","8401 Emerson Avenue #15, Los Angeles, CA 90045, USA",33.962148,-118.404979,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191870721,GRAHAM EARLY EDUCATION CENTER,LAUSD/EARLY CHILDHOOD EDUCATION,"DAVIS, AYANNA",(323) 582-1222,8332 SOUTH ELM ST.,LOS ANGELES,CA,90001,Los Angeles,33,111,Licensed,10/1/96,,6/16/14,2,4,4,10,"06/16/2014, 11/20/2012, 11/20/2012, 11/15/2012, 11/02/2011, 11/02/2011, 04/13/2011, 08/24/2010, 08/24/2010, 12/22/2009","06/16/2014, 11/02/2011",2,0,"11/20/2012, 11/02/2011, 04/13/2011, 12/22/2009",1,1,"8332 SOUTH ELM ST., LOS ANGELES, CA 90001","8332 Elm Street, Los Angeles, CA 90001, USA",33.9623055,-118.2385149,RANGE_INTERPOLATED,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191570803,MAOF CHILD CARE CENTER-BELL GARDENS,MEXICAN AMERICAN OPPORTUNITY FOUNDATION,YOLANDA VELA,(562) 928-1357,6113 CLARA STREET,BELL GARDENS,CA,90201,Los Angeles,33,75,Licensed,9/17/95,,8/19/14,3,0,1,4,"08/19/2014, 08/09/2012, 06/23/2011, 06/23/2011","08/19/2014, 08/09/2012, 06/23/2011",0,0,6/23/11,0,0,"6113 CLARA STREET, BELL GARDENS, CA 90201","6113 Clara Street, Bell Gardens, CA 90201, USA",33.9624804,-118.1573861,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191603554,FIRST LUTHERAN PRESCHOOL,FIRST EVANGELICAL LUTHERAN CHURCH,"HAMILTON, JULIANNE",(310) 674-0310,600 WEST QUEEN ST,INGLEWOOD,CA,90301,Los Angeles,30,94,Licensed,8/28/93,,6/21/12,1,1,0,2,"04/03/2012, 06/21/2012",4/3/12,0,3,,0,0,"600 WEST QUEEN ST, INGLEWOOD, CA 90301","600 West Queen Street, Inglewood, CA 90301, USA",33.9625388,-118.3665637,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,INFANT CENTER,191606212,CAROUSEL INFANT CENTER,"MC KC ENTERPRISES, INC.",JANE UY,(310) 216-6641,8333 AIRPORT BLVD.,LOS ANGELES,CA,90045,Los Angeles,30,22,Licensed,8/10/92,,9/23/14,1,0,4,5,"09/23/2014, 09/17/2014, 11/01/2012, 12/07/2011, 10/26/2011",11/1/12,0,0,"09/23/2014, 09/17/2014, 12/07/2011, 10/26/2011",0,0,"8333 AIRPORT BLVD., LOS ANGELES, CA 90045","8333 Airport Boulevard, Los Angeles, CA 90045, USA",33.9627305,-118.3857301,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191606210,CAROUSEL PRESCHOOL,"MC KC, ENTERPRISES",JANE UY,(310) 216-6641,8333 AIRPORT BLVD.,LOS ANGELES,CA,90045,Los Angeles,30,84,Licensed,8/11/92,,7/28/11,1,0,4,5,"07/28/2011, 06/13/2011, 05/18/2011, 11/19/2010, 08/25/2010",11/19/10,0,0,"07/28/2011, 06/13/2011, 05/18/2011, 08/25/2010",1,0,"8333 AIRPORT BLVD., LOS ANGELES, CA 90045","8333 Airport Boulevard, Los Angeles, CA 90045, USA",33.9627305,-118.3857301,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,INFANT CENTER,197418338,"HONEY'S LITTLE ANGELS CD & LC, INC","HONEY'S LITTLE ANGELS CD & LC, INC",SYLVIA RODRIGUEZ,(323) 750-4300,8300 S. VERMONT AVENUE,LOS ANGELES,CA,90044,Los Angeles,30,11,Licensed,7/3/12,,11/14/14,1,0,5,6,"09/19/2014, 08/15/2014, 05/01/2014, 09/13/2013, 07/05/2013, 07/03/2012",9/13/13,0,1,"09/19/2014, 08/15/2014, 05/01/2014, 07/05/2013, 07/03/2012",2,0,"8300 S. VERMONT AVENUE, LOS ANGELES, CA 90044","8300 Vermont Avenue, Los Angeles, CA 90044, USA",33.9631103,-118.2913046,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197418337,"HONEY'S LITTLE ANGELS CD & LC, INC","HONEY'S LITTLE ANGELS CD & LC, INC",SYLVIA RODRIGUEZ,(323) 750-4300,8300 S. VERMONT AVENUE,LOS ANGELES,CA,90044,Los Angeles,30,60,Licensed,7/3/12,,11/14/14,1,1,4,6,"11/14/2014, 09/19/2014, 08/01/2014, 09/13/2013, 09/13/2013, 07/03/2012",9/13/13,1,1,"09/19/2014, 08/01/2014, 09/13/2013, 07/03/2012",0,0,"8300 S. VERMONT AVENUE, LOS ANGELES, CA 90044","8300 Vermont Avenue, Los Angeles, CA 90044, USA",33.9631103,-118.2913046,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191501614,HUNTINGTON PARK NURSERY SCHOOL,"PEREZ, PILAR A. & HUMBERTO Q.","PEREZ, PILAR A.",(323) 582-2622,3505 SANTA ANA,HUNTINGTON PARK,CA,90255,Los Angeles,33,44,Licensed,6/1/93,,1/22/13,1,0,0,1,1/22/13,1/22/13,0,2,,0,0,"3505 SANTA ANA, HUNTINGTON PARK, CA 90255","3505 Santa Ana Street, Huntington Park, CA 90255, USA",33.963112,-118.204526,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,198012968,BALDWIN PARK USD TRICITIES HEAD START ELIZABETH,BALDWIN PARK UNIFIED SCHOOL DISTRICT,LAURA CARDENAS,(626) 962-3311,4811 E. ELIZABETH STREET,CUDAHY,CA,90201,Los Angeles,33,94,Licensed,10/16/06,,3/20/13,1,0,1,2,"03/20/2013, 12/09/2011",12/9/11,0,0,3/20/13,0,0,"4811 E. ELIZABETH STREET, CUDAHY, CA 90201","4811 Elizabeth Street, Cudahy, CA 90201, USA",33.9631779,-118.1829072,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197414014,ELIZABETH LEARNING CENTER STATE PRESCHOOL,LAUSD/EARLY CHILDHOOD EDUCATION,"GEE, BARBARA",(323) 562-0175,4811 ELIZABETH STREET ROOM C-8,CUDAHY,CA,90201,Los Angeles,33,24,Licensed,12/13/06,,2/27/13,1,0,1,2,"05/03/2012, 02/27/2013",2/27/13,0,0,5/3/12,0,0,"4811 ELIZABETH STREET ROOM C-8, CUDAHY, CA 90201","4811 Elizabeth Street #8, Cudahy, CA 90201, USA",33.9631779,-118.1829072,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,198018010,NLMUSD PRESCHOOL PROGRAMS-GALLATIN CENTER,NORWALK - LAMIRADA USD PRESCHOOL PROGRAMS,REYNA GARCIA,(562) 623-7126,9001 PARAMOUNT BLVD,DOWNEY,CA,90240,Los Angeles,33,120,Licensed,9/12/14,,9/12/14,0,0,1,1,9/12/14,,0,0,9/12/14,0,0,"9001 PARAMOUNT BLVD, DOWNEY, CA 90240","9001 Paramount Boulevard, Downey, CA 90240, USA",33.963307,-118.122946,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,198010785,OPTIONS-STATE PRESCHOOL-EVERGREEN,OPTIONS-A CHILD CARE & HUMAN SERVICES AGENCY,SUSAN YEARGIN,(562) 696-1243,12928 PUTNAM,E. WHITTIER,CA,90602,Los Angeles,33,24,Licensed,9/8/04,,10/10/14,3,0,1,4,"10/10/2014, 10/08/2013, 12/13/2010, 12/10/2010","10/10/2014, 10/08/2013, 12/10/2010",0,2,12/13/10,0,0,"12928 PUTNAM, E. WHITTIER, CA 90602","12928 Putnam Street, Whittier, CA 90602, USA",33.963355,-118.040744,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191592446,MAOF CHILD CARE CTR-FLORENCE-BELL GARDENS,MEXICAN AMERICAN OPPORTUNITY FOUNDATION,MARIA VILLALPANDO,(562) 806-3731,6431 EAST FLORENCE AVENUE,BELL GARDENS,CA,90201,Los Angeles,33,60,Licensed,4/25/14,,4/25/14,3,1,6,10,"04/25/2014, 06/11/2013, 02/12/2013, 09/18/2012, 04/25/2012, 02/22/2012, 02/22/2012, 02/22/2012, 02/15/2012, 02/15/2012","04/25/2014, 06/11/2013, 04/25/2012",0,3,"02/12/2013, 09/18/2012, 02/22/2012, 02/22/2012, 02/15/2012, 02/15/2012",5,2,"6431 EAST FLORENCE AVENUE, BELL GARDENS, CA 90201","6431 East Florence Avenue, Bell Gardens, CA 90201, USA",33.9638568,-118.1491598,RANGE_INTERPOLATED,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191598106,GARFIELD ELEMENTARY SCHOOL,MONTEBELLO UNIFIED SCHOOL DISTRICT,"RAMOS, AIDA",(562) 927-1916,7425 SOUTH GARFIELD AVENUE,BELL GARDENS,CA,90201,Los Angeles,33,41,Licensed,9/16/92,,5/9/13,1,0,0,1,5/9/13,5/9/13,0,0,,0,0,"7425 SOUTH GARFIELD AVENUE, BELL GARDENS, CA 90201","7425 Garfield Avenue, Bell Gardens, CA 90201, USA",33.9639583,-118.1527847,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,198010922,CUDAHY PRESCHOOL ACADEMY,"EBEN-EZER CHILDREN'S DAY CARE CENTER, INC",ADOL VERGARA,(323) 771-8700,4912 CLARA ST,CUDAHY,CA,90201,Los Angeles,33,60,Licensed,2/15/05,,12/3/14,4,2,2,8,"12/03/2014, 08/06/2014, 03/25/2014, 03/03/2014, 03/12/2013, 02/16/2012, 02/10/2011, 03/19/2010","08/06/2014, 02/16/2012, 02/10/2011, 03/19/2010",0,2,"12/03/2014, 03/12/2013",0,1,"4912 CLARA ST, CUDAHY, CA 90201","4912 Clara Street, Cudahy, CA 90201, USA",33.9648564,-118.1801304,RANGE_INTERPOLATED,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,198007160,MAGEE ELEMENTARY SCHOOL,EL RANCHO UNIFIED SCHOOL DISTRICT,RUDY RAMIREZ,(562) 801-5117,8200 SERAPIS AVENUE,PICO RIVERA,CA,90660,Los Angeles,33,22,Licensed,1/7/02,,10/25/13,2,0,2,4,"10/11/2013, 10/01/2013, 03/05/2013, 10/21/2010","03/05/2013, 10/21/2010",0,0,"10/11/2013, 10/01/2013",0,0,"8200 SERAPIS AVENUE, PICO RIVERA, CA 90660","8200 Serapis Avenue, Pico Rivera, CA 90660, USA",33.9649211,-118.1028443,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,198003948,DIAMOND CANYON CHRISTIAN PRESCHOOL,FIRST CHRISTIAN CHURCH OF ROWLAND HEIGHTS,"MCELREA, PENNY",(909) 468-9299,3338 DIAMOND CANYON RD.,DIAMOND BAR,CA,91765,Los Angeles,33,100,Licensed,3/31/98,,9/3/14,2,1,1,4,"09/03/2014, 08/23/2012, 08/23/2012, 07/27/2011","09/03/2014, 08/23/2012",0,0,8/23/12,0,0,"3338 DIAMOND CANYON RD., DIAMOND BAR, CA 91765","3338 South Diamond Canyon Road, Diamond Bar, CA 91765, USA",33.9650458,-117.8524101,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,198013463,"COALICION DE LATINO AMERICANOS, INC.","COALICION DE LATINO AMERICANOS, INC.",CLAUDIA REYES,(562) 928-5138,7413 JABONERIA ROAD,BELL GARDENS,CA,90201,Los Angeles,33,48,Licensed,12/4/08,,10/9/13,1,3,1,5,"10/09/2013, 11/27/2012, 10/18/2012, 09/18/2012, 03/14/2012",10/9/13,0,0,10/18/12,0,0,"7413 JABONERIA ROAD, BELL GARDENS, CA 90201","7413 Jaboneria Road, Bell Gardens, CA 90201, USA",33.9658,-118.159541,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,SCHOOL AGE DAY CARE CENTER,197400546,HARRY A. MIER CENTER,ABILITY FIRST,"BELL, HATTIE",(323) 753-3101,8090 CRENSHAW BLVD,INGLEWOOD,CA,90305,Los Angeles,30,27,Licensed,9/27/94,,5/9/14,2,0,6,8,"05/09/2014, 05/30/2013, 07/19/2011, 09/29/2010, 08/13/2010, 06/23/2010, 03/03/2010, 12/16/2009","07/19/2011, 08/13/2010",0,0,"05/09/2014, 05/30/2013, 09/29/2010, 06/23/2010, 03/03/2010, 12/16/2009",0,0,"8090 CRENSHAW BLVD, INGLEWOOD, CA 90305","8090 Crenshaw Boulevard, Inglewood, CA 90305, USA",33.9658715,-118.3305872,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,198006462,AEOLIAN,"PLAZA DE LA RAZA CHILD DEVELOPMENT SERVICES, INC.",NATIVIDAD BALLARDO,(562) 692-4213,11600 1/2 E. AEOLIAN STREET,WHITTIER,CA,90606,Los Angeles,33,40,Licensed,3/8/01,,2/3/14,1,0,0,1,2/3/14,2/3/14,0,0,,0,0,"11600 1/2 E. AEOLIAN STREET, WHITTIER, CA 90606","11600 Aeolian Street, Whittier, CA 90606, USA",33.9659994,-118.0669461,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,INFANT CENTER,197409013,LOYOLA MARYMOUNT UNIVERSITY CHILDREN'S CENTER,LOYOLA MARYMOUNT UNIVERSITY,ANI SHABAZIAN,(310) 258-8900,1 LMU DR,LOS ANGELES,CA,90045,Los Angeles,30,24,Licensed,8/28/02,,1/24/14,1,0,0,1,1/24/14,1/24/14,0,0,,0,0,"1 LMU DR, LOS ANGELES, CA 90045","Loyola Marymount University, 1 Loyola Marymount University Drive, Los Angeles, CA 90045, USA",33.9663093,-118.4229655,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197409012,LOYOLA MARYMOUNT UNIVERSITY CHILDREN'S CTR.,LOYOLA MARYMOUNT UNIVERSITY,ANI SHABAZIAN,(310) 258-8900,1 LMU DR,LOS ANGELES,CA,90045,Los Angeles,30,80,Licensed,8/28/02,,11/24/14,1,2,5,8,"11/24/2014, 01/24/2014, 06/27/2013, 06/20/2013, 04/09/2013, 03/29/2013, 08/02/2011, 08/02/2011",1/24/14,0,0,"11/24/2014, 04/09/2013, 03/29/2013, 08/02/2011, 08/02/2011",0,0,"1 LMU DR, LOS ANGELES, CA 90045","Loyola Marymount University, 1 Loyola Marymount University Drive, Los Angeles, CA 90045, USA",33.9663093,-118.4229655,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
